Job arriving time,# of container,Job elapsed time,Job type
128330,10,,2
128618,6,212,0
128624,2,35,1
129074,10,,2
129074,2,,2
129074,5,197,1
129128,9,81,0
129171,1,,2
129171,3,223,1
129860,13,67,1
129892,8,,2
129900,8,34,1
129944,2,64,1
130056,4,,2
130056,9,,2
130056,8,81,1
130056,3,50,1
130056,9,42,1
130290,39,77,1
130470,4,53,0
130551,9,40,0
130838,7,,2
130865,9,,2
130865,9,,2
130865,6,1219,1
130865,5,1130,1
130865,9,1576,0
130865,7,1555,0
130865,8,967,0
131215,7,,2
131215,10,134,1
131215,8,63,1
131479,8,,2
131709,10,,2
131709,9,,2
131744,5,,2
132480,8,74,1
132536,8,73,1
132662,3,764,0
132762,20,,2
132762,32,545,0
132848,2,,2
132848,8,313,1
132848,8,40,1
132848,1,434,0
132878,5,,2
132878,2,,2
132878,5,298,1
132878,2,76,1
133319,9,39,1
133320,1,,2
133320,4,,2
133344,4,195,1
133364,5,26,1
133520,4,233,0
133520,3,222,0
133776,8,33,1
133884,6,,2
133884,8,48,0
133950,3,35,1
134193,9,,2
134193,4,,2
134193,10,524,0
134263,10,,2
134263,3,,2
134263,32,732,1
134304,1,512,0
134781,9,,2
134781,7,,2
134781,9,166,1
134781,1,139,1
135036,5,,2
135036,7,220,1
135239,29,217,0
135319,10,72,1
135363,4,31,0
135432,3,,2
135432,8,183,1
135432,8,113,1
136412,20,,2
136412,9,97,1
136412,6,192,0
136460,8,,2
136460,2,94,1
136890,10,,2
136890,8,78,0
137049,3,,2
137049,7,29,1
137529,10,196,0
137572,1,,2
137608,1,,2
137708,5,184,1
137953,35,181,0
138151,9,36,1
138191,2,48,0
138350,3,1431,1
138350,4,79,0
138388,1,33,1
138484,6,126,1
138484,9,67,1
138484,5,51,1
138586,2,98,1
138789,7,31,0
138884,5,,2
138884,10,187,1
138884,2,83,1
138884,2,81,1
138884,10,26,1
139112,4,,2
139112,1,,2
139112,2,582,1
139127,5,156,1
139147,5,107,1
139375,6,29,1
139438,7,1346,1
139588,3,434,1
139588,8,38,1
139598,10,2387,1
139598,10,1129,1
140178,4,402,0
140398,4,,2
140768,10,24,1
140840,6,244,1
140840,2,67,1
140840,3,351,0
140860,4,,2
140860,9,,2
140860,14,113,1
140974,2,26,0
141254,8,199,0
141254,7,132,0
141290,6,196,1
141290,2,128,0
141290,9,105,0
141750,10,,2
141750,10,324,1
141912,6,34,0
142614,9,,2
142614,1,135,1
142614,8,31,1
142614,8,44,0
142774,4,,2
142936,6,33,1
142980,1,,2
143253,3,107,1
143253,2,24,0
143637,8,,2
143799,2,272,0
143811,2,,2
143811,5,44,1
143841,3,526,1
143841,10,364,1
143841,8,249,1
143841,7,41,1
143841,8,35,0
144033,4,201,1
144033,5,43,1
144033,2,42,1
144033,38,217,0
144093,10,199,0
144365,8,31,1
144407,1,,2
144623,3,,2
144623,6,,2
144623,8,336,1
144623,5,279,1
144623,5,320,0
144863,5,,2
144863,6,1244,1
144905,3,43,1
145057,4,,2
145073,4,39,1
145113,10,,2
145199,2,,2
145199,14,106,1
145199,4,174,0
145199,9,33,0
145247,3,,2
145849,7,,2
145849,4,,2
146080,33,77,1
146449,9,,2
146449,5,106,1
146449,9,85,1
146449,6,294,0
146449,4,108,0
147037,12,71,0
147552,5,39,0
147580,4,25,0
149060,8,31,1
149114,6,97,1
149134,4,,2
