Job arriving time,# of container,Job elapsed time,Job type
22163,4,233,0
22163,1,222,0
22195,1,33,1
22213,1,,2
22213,1,48,0
22235,1,35,1
22262,1,,2
22262,1,,2
22262,1,524,0
22269,10,,2
22269,1,,2
22269,32,732,1
22310,1,512,0
22363,1,,2
22363,1,,2
22363,1,166,1
22363,1,139,1
22414,1,,2
22414,1,220,1
22421,29,217,0
22429,1,72,1
22440,1,31,0
22463,1,,2
22463,1,183,1
22463,1,113,1
22512,20,,2
22512,1,97,1
22512,1,192,0
22518,1,,2
22518,2,94,1
22561,10,,2
22561,8,78,0
22614,1,,2
22614,1,29,1
22662,1,196,0
22705,1,,2
22741,1,,2
22761,1,184,1
22768,35,181,0
22790,1,36,1
22810,1,48,0
22863,1,1431,1
22863,1,79,0
22901,1,33,1
22917,1,126,1
22917,1,67,1
22917,1,51,1
22968,1,98,1
22997,1,31,0
23016,1,,2
23016,1,187,1
23016,2,83,1
23016,2,81,1
23016,1,26,1
23073,1,,2
23073,1,,2
23073,1,582,1
23076,1,156,1
23080,1,107,1
23118,1,29,1
23127,1,1346,1
23177,1,434,1
23177,1,38,1
23178,1,2387,1
23178,10,1129,1
23323,1,402,0
23378,1,,2
23415,1,24,1
23427,1,244,1
23427,1,67,1
23427,1,351,0
23432,1,,2
23432,1,,2
23432,14,113,1
23489,1,26,0
23524,1,199,0
23524,1,132,0
23530,6,196,1
23530,2,128,0
23530,9,105,0
23576,10,,2
23576,1,324,1
23603,1,34,0
23681,1,,2
23681,1,135,1
23681,1,31,1
23681,1,44,0
23721,1,,2
23748,1,33,1
23792,1,,2
23883,1,107,1
23883,1,24,0
23931,1,,2
24012,1,272,0
24018,1,,2
24018,1,44,1
24028,1,526,1
24028,1,364,1
24028,1,249,1
24028,1,41,1
24028,1,35,0
24076,1,201,1
24076,1,43,1
24076,1,42,1
24076,38,217,0
24082,10,199,0
24116,1,31,1
24158,1,,2
24230,1,,2
24230,1,,2
24230,1,336,1
24230,1,279,1
24230,1,320,0
24278,1,,2
24278,1,1244,1
24292,1,43,1
24330,1,,2
24334,1,39,1
24338,10,,2
24381,1,,2
24381,14,106,1
24381,1,174,0
24381,1,33,0
24397,1,,2
24483,1,,2
24483,1,,2
24490,33,77,1
24531,1,,2
24531,5,106,1
24531,1,85,1
24531,1,294,0
24531,1,108,0
24580,12,71,0
24683,1,39,0
24690,1,25,0
24875,1,31,1
24884,1,97,1
24889,1,,2
24933,1,1758,1
24933,1,1002,1
24933,1,127,0
24939,6,125,1
24939,2,126,0
24974,1,190,1
24983,1,,2
24992,13,125,1
25030,1,44,1
25034,1,,2
25037,1,169,0
25043,1,155,1
25043,1,184,0
25077,1,31,1
25080,1,671,0
25097,1,,2
25140,1,931,0
25146,10,676,1
25186,1,37,1
25212,1,34,0
25235,1,593,1
25251,1,,2
25283,1,,2
25283,1,74,1
25284,1,,2
25284,1,1655,1
25284,1,47,1
25325,1,37,1
25332,1,,2
25366,1,,2
25386,1,135,1
25386,1,166,0
25404,1,51,1
25435,1,200,1
25484,28,186,1
25533,1,,2
25533,1,93,1
25533,1,133,1
25540,1,88,1
25540,7,87,1
25573,1,27,0
25668,1,30,0
25671,1,28,1
25777,1,,2
25951,1,655,1
25972,1,48,1
25972,1,33,1
26095,1,,2
26121,1,202,1
26122,1,368,0
26130,28,200,1
26221,1,421,0
26254,1,33,1
26382,1,31,0
26433,1,60,1
26454,1,39,1
26458,1,46,1
26509,1,250,1
26509,1,37,1
26509,1,32,1
26509,1,47,0
26559,13,237,1
26575,1,41,1
26595,1,34,0
26701,1,203,1
26701,1,72,1
26704,1,40,0
26707,15,201,1
26710,1,28,0
26850,1,154,1
26850,1,171,0
26888,1,,2
26888,1,106,1
26892,1,,2
26892,1,116,0
26898,1,35,1
26947,1,44,1
26995,1,,2
26995,1,62,0
27022,1,34,1
27096,1,,2
27103,2,78,1
27220,1,33,1
27238,1,479,0
27372,1,,2
27453,1,,2
27566,1,,2
27574,1,,2
27598,1,276,0
27606,1,33,1
27714,1,32,0
27806,1,40,0
27829,1,,2
27980,1,33,1
27995,1,29,0
28034,1,237,1
28073,1,67,1
28076,1,124,1
28138,1,,2
28145,1,43,0
28155,1,27,1
28330,1,63,1
28511,1,37,1
28537,1,70,1
28886,1,67,1
28904,1,40,1
28908,1,35,1
28925,1,,2
28943,1,,2
28958,1,595,1
28958,1,39,1
28958,1,33,1
28998,1,2465,1
29005,1,,2
29009,1,42,1
29054,1,,2
29067,1,108,0
29070,1,400,1
29073,1,111,1
29077,1,111,1
29100,1,35,1
29102,1,166,1
29143,1,,2
29152,1,,2
29214,1,2395,1
29231,10,2386,1
29274,1,38,0
29293,1,,2
29293,1,226,0
29342,1,43,0
29391,1,36,0
29449,1,,2
29526,1,,2
29540,1,159,1
29755,1,103,1
29755,1,74,0
29758,1,74,1
29758,1,73,1
29796,1,,2
29821,1,,2
29821,1,75,1
29821,1,647,0
29821,1,473,0
29821,1,46,0
29827,2,72,1
29883,1,32,0
29992,1,25,0
29998,1,,2
30015,1,,2
30015,1,576,1
30021,46,504,1
30066,1,234,1
30066,1,384,0
30072,40,,2
30072,15,380,1
30072,2,382,0
